x y t case x_pre y_pre x_cor y_cor
3177.94 1126.86 43.7432 4 3177 1126 3177 1126
3177.94 1126.86 43.8706 4 3177 1126 3177 1126
3177.94 1126.86 43.9932 4 3177 1126 3177 1126
3177.94 1126.86 44.1183 4 3177 1126 3177 1126
3177.94 1126.86 44.2388 4 3177 1126 3177 1126
3177.94 1126.86 44.3637 4 3177 1126 3177 1126
3177.94 1126.86 44.4869 4 3177 1126 3177 1126
3177.94 1126.86 44.6121 4 3177 1126 3177 1126
3177.94 1126.86 44.742 4 3177 1126 3177 1126
3177.94 1126.86 44.8653 4 3177 1126 3177 1126
3177.94 1126.86 44.986 4 3177 1126 3177 1126
3177.94 1126.86 45.1118 4 3177 1126 3177 1126
3177.94 1126.86 45.2358 4 3177 1126 3177 1126
3177.94 1126.86 45.3621 4 3177 1126 3177 1126
3177.94 1126.86 45.485 4 3177 1126 3177 1126
3177.94 1126.86 45.6115 4 3177 1126 3177 1126
3177.94 1126.86 45.7324 4 3177 1126 3177 1126
3177.94 1126.86 45.8612 4 3177 1126 3177 1126
3177.94 1126.86 45.9839 4 3177 1126 3177 1126
3177.94 1126.86 46.1109 4 3177 1126 3177 1126
3177.94 1126.86 46.2334 4 3177 1126 3177 1126
3177.94 1126.86 46.3624 4 3177 1126 3177 1126
3177.94 1126.86 46.4862 4 3177 1126 3177 1126
3177.94 1126.86 46.6107 4 3177 1126 3177 1126
3177.94 1126.86 46.7319 4 3177 1126 3177 1126
3177.94 1126.86 46.8566 4 3177 1126 3177 1126
3177.94 1126.86 46.9818 4 3177 1126 3177 1126
3177.94 1126.86 47.1109 4 3177 1126 3177 1126
3177.94 1126.86 47.2333 4 3177 1126 3177 1126
3177.94 1126.86 47.3587 4 3177 1126 3177 1126
3177.94 1126.86 47.4821 4 3177 1126 3177 1126
3177.94 1126.86 47.6082 4 3177 1126 3177 1126
3177.94 1126.86 47.7358 4 3177 1126 3177 1126
3177.94 1126.86 47.8571 4 3177 1126 3177 1126
3177.94 1126.86 47.9823 4 3177 1126 3177 1126
3177.94 1126.86 48.105 4 3177 1126 3177 1126
